Company/Brand,Year1,Revenue1,Year2,Revenue2,Year3,Revenue3,Year4,Revenue4,Year5,Revenue5,HQ,Sector,Founders,Investor,Amount($),Stage,What it does,,,,,,,,,,,,,,,
HappyEMI,2018,7000000,2019,5000000,2020,2000000,2021,6000000,2022,9000000,Bangalore,Fintech,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",1000000,Seed,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,,,,,,,,,,,,,,,
Propelld,2018,1750000,2019,1250000,2020,500000,2021,1500000,2022,2250000,Mumbai,Fintech,Manan Khurma,"Manta Ray Ventures Limited, Google?s Capital G, Sequoia India.",250000,Seed,Propelld is a student education financing platform.,,,,,,,,,,,,,,,
ZiffyHomes,2018,840000,2019,600000,2020,240000,2021,720000,2022,1080000,Mumbai,Marketplace,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,120000,Seed,ZiffyHomes is a technology driven marketplace to find out home on rent.,,,,,,,,,,,,,,,
Carmesi,2018,238000000,2019,170000000,2020,68000000,2021,204000000,2022,306000000,Bangalore,Health Care,,HNI investors,34000000,Seed,Carmesi is a brand of high-end menstrual-hygiene products in India.,,,,,,,,,,,,,,,
Racetrack,2018,2394000000,2019,1710000000,2020,684000000,2021,2052000000,2022,3078000000,Bangalore,Artificial Intelligence,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",342000000,Seed,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",,,,,,,,,,,,,,,
WHR,2018,1002015,2019,715725,2020,286290,2021,858870,2022,1288305,Bangalore,Information Technology,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",143145,Seed,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",,,,,,,,,,,,,,,
FabAlley,2018,4200000000,2019,3000000000,2020,1200000000,2021,3600000000,2022,5400000000,Mumbai,E-commerce,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",600000000,Series B,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",,,,,,,,,,,,,,,
SBI Life,2018,5194000000,2019,3710000000,2020,1484000000,2021,4452000000,2022,6678000000,Gurugram,Insurtech,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",742000000,Private Equity,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,,,,,,,,,,,,,,,
Studds Accessories,2018,7000000000,2019,5000000000,2020,2000000000,2021,6000000000,2022,9000000000,Mumbai,E-commerce,Sarvesh Shashi,"Venture fund, Fireside Ventures.",1000000000,Private Equity,Studds Accessories is a scooter accessories service provider in India,,,,,,,,,,,,,,,
Design Cafe,2018,14000000000,2019,10000000000,2020,4000000000,2021,12000000000,2022,18000000000,Noida,Home Decor,Paddy Padmanabhan,Saravanan Adiseshan,2000000000,Series B,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",,,,,,,,,,,,,,,
NoPaperForms Solutions Pvt. Ltd.,2018,27860000,2019,19900000,2020,7960000,2021,23880000,2022,35820000,Noida,SaaS,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",3980000,Series B,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",,,,,,,,,,,,,,,
Rays Power Infra,2018,14000000000,2019,10000000000,2020,4000000000,2021,12000000000,2022,18000000000,Pune,Renewable Energy,"Greg Moran, David Back",Zoomcar Inc,2000000000,Venture - Series Unknown,Rays Power Infra is a leading integrated Solar Power Company.,,,,,,,,,,,,,,,
AuthMetrik,2018,70000,2019,50000,2020,20000,2021,60000,2022,90000,Gurugram,SaaS,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",10000,Grant,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",,,,,,,,,,,,,,,
LetsTransport,2018,7000000000,2019,5000000000,2020,2000000000,2021,6000000000,2022,9000000000,Mumbai,Transportation,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000000,Series B,Lets transport is a logistics solution provider.,,,,,,,,,,,,,,,
Next Digital Solutions,2018,700000,2019,500000,2020,200000,2021,600000,2022,900000,Bangalore,Marketplace,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",100000,Angel,Next Digital Solutions is website design & Digital Marketing development company.,,,,,,,,,,,,,,,
Portea Medical,2018,1750000000,2019,1250000000,2020,500000000,2021,1500000000,2022,2250000000,Bangalore,Health Care,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,250000000,Debt Financing,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,,,,,,,,,,,,,,,
Aavas Financiers,2018,14000000000,2019,10000000000,2020,4000000000,2021,12000000000,2022,18000000000,Hyderabad,Financial Services,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",2000000000,Post-IPO Debt,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",,,,,,,,,,,,,,,
Swiggy,2018,7000000000,2019,5000000000,2020,2000000000,2021,6000000000,2022,9000000000,Bangalore,Food Delivery,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",1000000000,Series H,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,,,,,,,,,,,,,,,
Milkbasket,2018,49000000,2019,35000000,2020,14000000,2021,42000000,2022,63000000,Thane,E-commerce,"Prasanna Manogaran, Bharani C L",Angel investors,7000000,Series A,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",,,,,,,,,,,,,,,
Toppr,2018,245000000,2019,175000000,2020,70000000,2021,210000000,2022,315000000,Bangalore,Education,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,35000000,Series C,Toppr.com is an online preparation platform for entrance exams in India.,,,,,,,,,,,,,,,
Vivriti Capital,2018,199500000,2019,142500000,2020,57000000,2021,171000000,2022,256500000,Bangalore,Financial Services,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",28500000,Venture - Series Unknown,Vivriti Capital is an online platform for institutional debt in India.,,,,,,,,,,,,,,,
Impact Guru,2018,14000000,2019,10000000,2020,4000000,2021,12000000,2022,18000000,New Delhi,Health Care,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",2000000,Series A,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",,,,,,,,,,,,,,,
MobiKwik,2018,1680000000,2019,1200000000,2020,480000000,2021,1440000000,2022,2160000000,Bangalore,Fintech,Ajay Sakhamuri,ICICI Bank.,240000000,Series E,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,,,,,,,,,,,,,,,
DataTrained,2018,840000000,2019,600000000,2020,240000000,2021,720000000,2022,1080000000,Bangalore,Education,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",120000000,Seed,"DataTrained is a educational platform, which operates an ed-tech startup on data science",,,,,,,,,,,,,,,
OneAssist,2018,16800000,2019,12000000,2020,4800000,2021,14400000,2022,21600000,New Delhi,SaaS,Meghana Narayan,Fireside Ventures,2400000,Debt Financing,OneAssist is a protection & assistance services platform.,,,,,,,,,,,,,,,
Satin Creditcare Network Limited (SCNL),2018,210000000,2019,150000000,2020,60000000,2021,180000000,2022,270000000,Bangalore,Financial Services,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",30000000,Post-IPO Debt,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,,,,,,,,,,,,,,,
APAC Financial Services,2018,17500000000,2019,12500000000,2020,5000000000,2021,15000000000,2022,22500000000,Gurugram,Financial Services,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,2500000000,Private Equity,APAC Financial Services is a financial services platform.,,,,,,,,,,,,,,,
Moglix,2018,161000000,2019,115000000,2020,46000000,2021,138000000,2022,207000000,Pune,E-commerce,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",23000000,Series C,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",,,,,,,,,,,,,,,
MadGuy Labs,2018,1050000,2019,750000,2020,300000,2021,900000,2022,1350000,Ahmedabad,E-Learning,"Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",150000,Venture - Series Unknown,MadGuy Labs is a Online Test-prep Platform.,,,,,,,,,,,,,,,
Shop101,2018,77000000,2019,55000000,2020,22000000,2021,66000000,2022,99000000,Bangalore,E-commerce,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",11000000,Series B,#1 Online Selling App. India?s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,,,,,,,,,,,,,,,
FeedMyPockets,2018,308000000,2019,220000000,2020,88000000,2021,264000000,2022,396000000,Jaipur,Advertisement,Prashant Agarwal,"BlackSoil, Caspian",44000000,Seed,On Demand Staffing Platform,,,,,,,,,,,,,,,
FoodBuddy,2018,420000000,2019,300000000,2020,120000000,2021,360000000,2022,540000000,Gurugram,Food Delivery,Vikrant Varshney,,60000000,Seed,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",,,,,,,,,,,,,,,
Ninjacart,2018,17500000000,2019,12500000000,2020,5000000000,2021,15000000000,2022,22500000000,Mumbai,AgriTech,Sujit Bangar,Zenith Global,2500000000,Series B,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,,,,,,,,,,,,,,,
BYJU?S,2018,3780000000,2019,2700000000,2020,1080000000,2021,3240000000,2022,4860000000,Gurugram,Education,Karanpal Singh,,540000000,Private Equity,BYJU?s is an edtech company that is reinventing how students learn through its learning app.,,,,,,,,,,,,,,,
Wakefit,2018,4550000000,2019,3250000000,2020,1300000000,2021,3900000000,2022,5850000000,Noida,Manufacturing,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",650000000,Venture - Series Unknown,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,,,,,,,,,,,,,,,
Hero Electric,2018,11200000000,2019,8000000000,2020,3200000000,2021,9600000000,2022,14400000000,Mumbai,Manufacturing,Naveen Tewari,Mithril Capital Management.,1600000000,Venture - Series Unknown,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",,,,,,,,,,,,,,,
PerkFinance,2018,6300000,2019,4500000,2020,1800000,2021,5400000,2022,8100000,Hyderabad,Fintech,"Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,900000,Seed,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,,,,,,,,,,,,,,,
Roposo,2018,70000000,2019,50000000,2020,20000000,2021,60000000,2022,90000000,New Delhi,Information Technology,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,10000000,Series C,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,,,,,,,,,,,,,,,
OTO Capital,2018,350000000,2019,250000000,2020,100000000,2021,300000000,2022,450000000,Gurugram,Electric Vehicle,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",50000000,Seed,OTO Capital is a platform that allows you to own a car faster than ever.,,,,,,,,,,,,,,,
Boodmo,2018,490000000,2019,350000000,2020,140000000,2021,420000000,2022,630000000,Gurugram,Electric Vehicle,Nirmal Shah,"Delhi Private School, UAE, Interstar",70000000,Seed,boodmo.com - large online marketplace for auto parts in India.,,,,,,,,,,,,,,,
MyNewCar.in,2018,7000000,2019,5000000,2020,2000000,2021,6000000,2022,9000000,Gurugram,Electric Vehicle,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,1000000,Venture - Series Unknown,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,,,,,,,,,,,,,,,
HalaPlay Technologies,2018,35000000,2019,25000000,2020,10000000,2021,30000000,2022,45000000,Chennai,Digital platform,Ronak Sarda,Angel investors,5000000,Series A,A daily fantasy sports platform.,,,,,,,,,,,,,,,
PlanetSpark,2018,112000000,2019,80000000,2020,32000000,2021,96000000,2022,144000000,Pune,E-Learning,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,16000000,Seed,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,,,,,,,,,,,,,,,
Forum for Innovation Incubation Research and Entrepreneurship,2018,717500000,2019,512500000,2020,205000000,2021,615000000,2022,922500000,Gurugram,Investment Banking,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,102500000,Grant,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",,,,,,,,,,,,,,,
OYO,2018,700000000,2019,500000000,2020,200000000,2021,600000000,2022,900000000,Thane,Hospitality,Dr Prashant Soma,Blacksoil,100000000,Series E,OYO is an Indian hospitality startup that operates a network of budget hotels.,,,,,,,,,,,,,,,
Quikr,2018,3850000000,2019,2750000000,2020,1100000000,2021,3300000000,2022,4950000000,Bangalore,Marketplace,Sundeep Mohindru,"BEENEXT, Mayfield Fund",550000000,Debt Financing,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",,,,,,,,,,,,,,,
LearnApp,2018,140000000,2019,100000000,2020,40000000,2021,120000000,2022,180000000,Bangalore,E-Learning,Shivanand N,"NIIF Ltd, CDC Group",20000000,Seed,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",,,,,,,,,,,,,,,
Shopkirana,2018,14000000,2019,10000000,2020,4000000,2021,12000000,2022,18000000,New Delhi,E-commerce,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",2000000,Venture - Series Unknown,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,,,,,,,,,,,,,,,
Articbot,2018,8400000,2019,6000000,2020,2400000,2021,7200000,2022,10800000,Bangalore,Artificial Intelligence,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",1200000,Grant,Articbot is a conversational AI platform for automated customer support and lead generation,,,,,,,,,,,,,,,
BuildSupply,2018,1750000000,2019,1250000000,2020,500000000,2021,1500000000,2022,2250000000,Mumbai,Information Technology,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,250000000,Series A,India?s most advanced ERP system for the real estate,,,,,,,,,,,,,,,
