Company/Brand,Year,HQ,Sector,Revenue,Founders,Investor,Amount($),Stage,What it does,Latitude,Longitude
Mojro Technologies,2018,Mumbai,Supply Chain Management,4550000,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,650000,Seed,Mojro envisions to be the world's largest technology-enabled logistics platform.,19.0759837,72.8776559
Elemential,2018,Mumbai,Blockchain,7000000,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1000000,Seed,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",19.0759837,72.8776559
Loadshare,2018,Bangalore,Supply Chain Management,35000000,"Nishant Jain, Rohan Kumar",IVM Intersurer,5000000,Series A,LoadShare is India?s fastest growing logistics company,12.9715987,77.5945627
Yumlane,2018,Bangalore,Food & Beverages,28000000,Sam Udotong,Canaan Partners,4000000,Series A,Food startup Yumlane operated by QwikPik Technology,12.9715987,77.5945627
Kriger Campus,2018,Bangalore,Education,210000000,"Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",30000000,Seed,A Education Start Up.,12.9715987,77.5945627
Pipa+Bella,2018,Bangalore,E-commerce,7000000,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",1000000,Series A,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,12.9715987,77.5945627
Kaleidofin,2018,Hyderabad,Financial Services,19600000,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,2800000,Seed,A fintech platform.,17.385044,78.486671
IndigoLearn,2018,Bangalore,E-Learning,1050000,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,150000,Seed,India's the premier education destination catering to the needs of aspiring students of the CA community.,12.9715987,77.5945627
UClean,2018,Pune,Cleantech,280000000,"Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",40000000,Seed,UClean is a tech enabled laundry service provider.,18.5204303,73.8567437
Coutloot,2018,Hyderabad,E-commerce,7000000,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",1000000,Seed,The Fashion Re-commerce platform.,17.385044,78.486671
Finzy,2018,Mumbai,Financial Services,9100000,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",1300000,Seed,finzy is the premier peer to peer lending solution in India.,19.0759837,72.8776559
Fitternity,2018,New Delhi,Health Care,14000000,Swapnil,Scale Venture Partners,2000000,Seed,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,28.6139391,77.2090212
Tolet for Students,2018,Mumbai,Hospitality,35000000,Rajendra Lora,ThinkLab,5000000,Seed,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",19.0759837,72.8776559
Chai Kings,2018,Bangalore,Food & Beverages,140000000,,"Sajan Pillai, Muthu Krishnan,",20000000,Seed,Chai Kings is a tea retail chain,12.9715987,77.5945627
Dainik Jagran,2018,Bangalore,Media,280000000,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",40000000,Seed,Dainik Jagran is a media and communications group.,12.9715987,77.5945627
Playtoome,2018,Hyderabad,Advertisement,140000000,Akshay Narvekar,Lightbox Ventures,20000000,Seed,Playtoome is a live entertainment destination,17.385044,78.486671
ONGO Framework,2018,Bangalore,Information Technology,7000000,Deepak Anchala,Stellaris Ventures,1000000,Angel,ONGO Framework is a B2B IT and digital solution provider.,12.9715987,77.5945627
Notesgen,2018,Pune,Education,87500000,"Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",12500000,Seed,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,18.5204303,73.8567437
Arogya MedTech,2018,Hyderabad,Health Care,105000000,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),15000000,Seed,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,17.385044,78.486671
Propshop24,2018,Mumbai,E-commerce,3500000,"Amit Raj, Anshul Gupta",Trifecta Capital,500000,Seed,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",19.0759837,72.8776559
ZestMoney,2018,New Delhi,Fintech,93800000,"Manish Taneja, Rahul Dash",Goldman Sachs,13400000,Series A,Zest is India's first completely automated consumer digital lending platform.,28.6139391,77.2090212
MyDentistChoice,2018,Mumbai,Health Care,3500000,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",500000,Seed,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,19.0759837,72.8776559
MedCords,2018,Gurugram,Health Care,184800000,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,??Triodos Investment Management",26400000,Seed,Medcords is India?s first holistic healthcare ecosystem on a cloud platform that makes health management easier,28.4594965,77.0266383
Ultraviolette Automotive,2018,Mumbai,Electric Vehicle,420000,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,60000,Series A,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,19.0759837,72.8776559
Inthree Access,2018,Bangalore,Consulting,28000000,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,4000000,Series A,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,12.9715987,77.5945627
BUGWORKS Research India,2018,Hyderabad,Pharmacy,63000000,Visakh Sasikumar,GAIL (India) Ltd,9000000,Series A,BUGWORKS is a drug discovery company.,17.385044,78.486671
PrestLoans,2018,Kolkata,Fintech,700000,Saurav Kumar,"Blume Ventures, Emergent Ventures",100000,Seed,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",22.572646,88.363895
Wimoxez,2018,Noida,Internet,140000,Malika Sadani,"Saama Capital, DSG Consumer Partners",20000,Seed,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",28.5355161,77.3910265
HappyEMI,2018,Bangalore,Fintech,7000000,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",1000000,Seed,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,12.9715987,77.5945627
Propelld,2018,Mumbai,Fintech,1750000,Manan Khurma,"Manta Ray Ventures Limited, Google?s Capital G, Sequoia India.",250000,Seed,Propelld is a student education financing platform.,19.0759837,72.8776559
ZiffyHomes,2018,Mumbai,Marketplace,840000,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,120000,Seed,ZiffyHomes is a technology driven marketplace to find out home on rent.,19.0759837,72.8776559
Carmesi,2018,Bangalore,Health Care,238000000,,HNI investors,34000000,Seed,Carmesi is a brand of high-end menstrual-hygiene products in India.,12.9715987,77.5945627
Racetrack,2018,Bangalore,Artificial Intelligence,2394000000,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",342000000,Seed,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",12.9715987,77.5945627
WHR,2018,Bangalore,Information Technology,1002015,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",143145,Seed,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",12.9715987,77.5945627
FabAlley,2018,Mumbai,E-commerce,4200000000,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",600000000,Series B,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",19.0759837,72.8776559
SBI Life,2018,Gurugram,Insurtech,5194000000,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",742000000,Private Equity,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,28.4594965,77.0266383
Studds Accessories,2018,Mumbai,E-commerce,7000000000,Sarvesh Shashi,"Venture fund, Fireside Ventures.",1000000000,Private Equity,Studds Accessories is a scooter accessories service provider in India,19.0759837,72.8776559
Design Cafe,2018,Noida,Home Decor,14000000000,Paddy Padmanabhan,Saravanan Adiseshan,2000000000,Series B,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",28.5355161,77.3910265
NoPaperForms Solutions Pvt. Ltd.,2018,Noida,SaaS,27860000,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",3980000,Series B,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",28.5355161,77.3910265
Rays Power Infra,2018,Pune,Renewable Energy,14000000000,"Greg Moran, David Back",Zoomcar Inc,2000000000,Venture - Series Unknown,Rays Power Infra is a leading integrated Solar Power Company.,18.5204303,73.8567437
AuthMetrik,2018,Gurugram,SaaS,70000,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",10000,Grant,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",28.4594965,77.0266383
LetsTransport,2018,Mumbai,Transportation,7000000000,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000000,Series B,Lets transport is a logistics solution provider.,19.0759837,72.8776559
Next Digital Solutions,2018,Bangalore,Marketplace,700000,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",100000,Angel,Next Digital Solutions is website design & Digital Marketing development company.,12.9715987,77.5945627
Portea Medical,2018,Bangalore,Health Care,1750000000,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,250000000,Debt Financing,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,12.9715987,77.5945627
Aavas Financiers,2018,Hyderabad,Financial Services,14000000000,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",2000000000,Post-IPO Debt,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",17.385044,78.486671
Swiggy,2018,Bangalore,Food Delivery,7000000000,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",1000000000,Series H,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,12.9715987,77.5945627
Milkbasket,2018,Thane,E-commerce,49000000,"Prasanna Manogaran, Bharani C L",Angel investors,7000000,Series A,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",19.2183307,72.9780897
Toppr,2018,Bangalore,Education,245000000,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,35000000,Series C,Toppr.com is an online preparation platform for entrance exams in India.,12.9715987,77.5945627
Vivriti Capital,2018,Bangalore,Financial Services,199500000,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",28500000,Venture - Series Unknown,Vivriti Capital is an online platform for institutional debt in India.,12.9715987,77.5945627
Impact Guru,2018,New Delhi,Health Care,14000000,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",2000000,Series A,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",28.6139391,77.2090212
MobiKwik,2018,Bangalore,Fintech,1680000000,Ajay Sakhamuri,ICICI Bank.,240000000,Series E,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,12.9715987,77.5945627
DataTrained,2018,Bangalore,Education,840000000,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",120000000,Seed,"DataTrained is a educational platform, which operates an ed-tech startup on data science",12.9715987,77.5945627
OneAssist,2018,New Delhi,SaaS,16800000,Meghana Narayan,Fireside Ventures,2400000,Debt Financing,OneAssist is a protection & assistance services platform.,28.6139391,77.2090212
Satin Creditcare Network Limited (SCNL),2018,Bangalore,Financial Services,210000000,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",30000000,Post-IPO Debt,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,12.9715987,77.5945627
APAC Financial Services,2018,Gurugram,Financial Services,17500000000,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,2500000000,Private Equity,APAC Financial Services is a financial services platform.,28.4594965,77.0266383
Moglix,2018,Pune,E-commerce,161000000,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",23000000,Series C,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",18.5204303,73.8567437
MadGuy Labs,2018,Ahmedabad,E-Learning,1050000,"Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",150000,Venture - Series Unknown,MadGuy Labs is a Online Test-prep Platform.,23.022505,72.5713621
Shop101,2018,Bangalore,E-commerce,77000000,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",11000000,Series B,#1 Online Selling App. India?s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,12.9715987,77.5945627
FeedMyPockets,2018,Jaipur,Advertisement,308000000,Prashant Agarwal,"BlackSoil, Caspian",44000000,Seed,On Demand Staffing Platform,26.9124336,75.7872709
FoodBuddy,2018,Gurugram,Food Delivery,420000000,Vikrant Varshney,,60000000,Seed,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",28.4594965,77.0266383
Ninjacart,2018,Mumbai,AgriTech,17500000000,Sujit Bangar,Zenith Global,2500000000,Series B,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,19.0759837,72.8776559
BYJU?S,2018,Gurugram,Education,3780000000,Karanpal Singh,,540000000,Private Equity,BYJU?s is an edtech company that is reinventing how students learn through its learning app.,28.4594965,77.0266383
Wakefit,2018,Noida,Manufacturing,4550000000,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",650000000,Venture - Series Unknown,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,28.5355161,77.3910265
Hero Electric,2018,Mumbai,Manufacturing,11200000000,Naveen Tewari,Mithril Capital Management.,1600000000,Venture - Series Unknown,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",19.0759837,72.8776559
PerkFinance,2018,Hyderabad,Fintech,6300000,"Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,900000,Seed,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,17.385044,78.486671
Roposo,2018,New Delhi,Information Technology,70000000,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,10000000,Series C,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,28.6139391,77.2090212
OTO Capital,2018,Gurugram,Electric Vehicle,350000000,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",50000000,Seed,OTO Capital is a platform that allows you to own a car faster than ever.,28.4594965,77.0266383
Boodmo,2018,Gurugram,Electric Vehicle,490000000,Nirmal Shah,"Delhi Private School, UAE, Interstar",70000000,Seed,boodmo.com - large online marketplace for auto parts in India.,28.4594965,77.0266383
MyNewCar.in,2018,Gurugram,Electric Vehicle,7000000,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,1000000,Venture - Series Unknown,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,28.4594965,77.0266383
HalaPlay Technologies,2018,Chennai,Digital platform,35000000,Ronak Sarda,Angel investors,5000000,Series A,A daily fantasy sports platform.,13.0826802,80.2707184
PlanetSpark,2018,Pune,E-Learning,112000000,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,16000000,Seed,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,18.5204303,73.8567437
Forum for Innovation Incubation Research and Entrepreneurship,2018,Gurugram,Investment Banking,717500000,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,102500000,Grant,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",28.4594965,77.0266383
OYO,2018,Thane,Hospitality,700000000,Dr Prashant Soma,Blacksoil,100000000,Series E,OYO is an Indian hospitality startup that operates a network of budget hotels.,19.2183307,72.9780897
Quikr,2018,Bangalore,Marketplace,3850000000,Sundeep Mohindru,"BEENEXT, Mayfield Fund",550000000,Debt Financing,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",12.9715987,77.5945627
LearnApp,2018,Bangalore,E-Learning,140000000,Shivanand N,"NIIF Ltd, CDC Group",20000000,Seed,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",12.9715987,77.5945627
Shopkirana,2018,New Delhi,E-commerce,14000000,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",2000000,Venture - Series Unknown,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,28.6139391,77.2090212
Articbot,2018,Bangalore,Artificial Intelligence,8400000,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",1200000,Grant,Articbot is a conversational AI platform for automated customer support and lead generation,12.9715987,77.5945627
BuildSupply,2018,Mumbai,Information Technology,1750000000,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,250000000,Series A,India?s most advanced ERP system for the real estate,19.0759837,72.8776559
Fusion Microfinance,2018,Bangalore,Financial Services,36400000000,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,5200000000,Series E,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,12.9715987,77.5945627
Guiddoo World,2018,Bangalore,Travel,5600000,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",800000,Seed,We build In-Destination Experiences!,12.9715987,77.5945627
ION Energy,2018,Bangalore,Renewable Energy,7287000,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",1041000,Venture - Series Unknown,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,12.9715987,77.5945627
UnoTag,2018,Bangalore,Artificial Intelligence,700000,"Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",100000,Pre-Seed,SaaS to verify counterfeit,12.9715987,77.5945627
CivilCops,2018,Pune,Information Technology,700000,Sumit Sanjay Singare,India Angel Fund,100000,Pre-Seed,Gov-Tech,18.5204303,73.8567437
Classworks India,2018,Gurugram,Information Technology,700000,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,100000,Undisclosed,"Saas, Web App, Mobile App, School Education",28.4594965,77.0266383
artbandhu,2018,Bangalore,Digital platform,105000,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",15000,Pre-Seed,Ai platform for Art and Creative Community,12.9715987,77.5945627
Survaider,2018,Bangalore,SaaS,3500000,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",500000,Seed,Stethoscope for customer feedback !,12.9715987,77.5945627
Credy,2018,Bangalore,Fintech,9800000,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1400000,Seed,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,12.9715987,77.5945627
iChamp,2018,New Delhi,E-Learning,35000000,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",5000000,Seed,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,28.6139391,77.2090212
Avishkaar Box,2018,New Delhi,Education,350000000,Manan Khurma,"Sequoia Capital India, CapitalG",50000000,Seed,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",28.6139391,77.2090212
HyperXchange,2018,Mumbai,E-commerce,7000000,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1000000,Series A,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,19.0759837,72.8776559
Doodhwala,2018,Gujarat,Food Delivery,15400000,"Harsh Rajat, Richa Joshi",Prolific angel investors,2200000,Seed,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,22.6708317,71.5723953
FastFox,2018,Mumbai,Rental,700000000,Palani Rajan,Nativelead Foundation,100000000,Series A,FastFox: Market Network for Home Rentals (India),19.0759837,72.8776559
BuyForexOnline,2018,Chandigarh,Travel,14000000,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",2000000,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,30.7333148,76.7794179
Colive.in,2018,Powai,Consumer Goods,12600000,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",1800000,Seed,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,19.1175993,72.9059747
Agricxlab Private Limited,2018,Bangalore,Marketplace,3500000,Sanjeev Bikhchandani,Lightbox,500000,Seed,Online marketplace where farmers and traders can sell their produce to B2B buyers,12.9715987,77.5945627
Pandorum Technologies,2018,Chennai,Biotechnology,25200000,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",3600000,Series A,Bengaluru based biotech startup.,13.0826802,80.2707184
Shirsa Labs,2018,Bangalore,Education,3500000,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",500000,Seed,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,12.9715987,77.5945627
PinkBlue,2018,Mumbai,Health Care,2100000,Kunal Shah,"General Catalyst, Ribbit Capital",300000,Seed,PinkBlue.in - Super-efficient supply-chain for clinical supplies,19.0759837,72.8776559
Eduvanz,2018,Mumbai,Financial Services,3500000,Shantanu Deshpande,Sixth Sense Ventures,500000,Angel,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",19.0759837,72.8776559
Rupeek,2018,Gurugram,Financial Services,47810000,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,6830000,Series A,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,28.4594965,77.0266383
Backpacker Panda Holidays Private Limited,2018,New Delhi,Travel,9800000,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",1400000,Series A,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,28.6139391,77.2090212
Shape (School Health and Physical Education),2018,New Delhi,Education,1400000,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",200000,Seed,Physical education start up,28.6139391,77.2090212
Placio,2018,Mumbai,Hospitality,14000000,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),2000000,Seed,Placio is a student housing and a complete broker-free platform.,19.0759837,72.8776559
Aviom India Housing Finance,2018,Gurugram,Financial Services,1050000000,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",150000000,Series A,Delhi based housing finance company.,28.4594965,77.0266383
HeyHolidays,2018,Bangalore,Travel,7000000,Renuka Ramnath,Multiples Alternate Asset Management,1000000,Seed,"HeyHolidays, a global player in online vacation rentals.",12.9715987,77.5945627
Pratilipi,2018,Ghaziabad,Advertisement,30100000,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,4300000,Series A,Amazon's Kindle Direct Publishing for Indian Languages,28.6691565,77.4537578
